date,rate
1999-3-16,4.5
1999-4-20,4.5
1999-5-18,4.5
1999-6-29,4.5
1999-8-17,4.5
1999-9-28,4.5
1999-11-15,4.5
1999-11-16,5.0
2000-1-17,5.0
2000-1-18,5.25
2000-3-14,5.75
2000-2-17,5.75
2000-4-18,6.0
2000-3-15,6.0
2000-5-16,6.5
2000-7-4,6.5
2000-8-15,6.5
2000-10-3,6.5
2000-12-5,6.5
2001-1-23,6.5
2001-3-12,6.5
2001-3-13,6.25
2001-4-17,6.25
2001-4-18,6.0
2001-5-14,6.0
2001-5-15,5.75
2001-7-3,5.75
2001-8-14,5.75
2001-9-17,5.75
2001-9-18,5.25
2001-10-2,5.25
2001-11-12,5.25
2001-11-13,4.75
2002-1-22,4.75
2002-3-18,4.75
2002-3-19,5.0
2002-4-15,5.0
2002-4-16,5.25
2002-5-13,5.25
2002-5-14,5.5
2002-7-1,5.5
2002-7-2,5.75
2002-8-13,5.75
2002-10-1,5.75
2002-11-19,5.75
2003-1-22,5.75
2003-3-5,5.75
2003-4-22,5.75
2003-4-23,5.5
2003-6-3,5.5
2003-6-4,5.25
2003-7-22,5.0
2003-7-23,5.0
2003-9-3,5.0
2003-10-22,5.0
2003-12-3,5.0
2004-1-27,5.0
2004-1-28,5.25
2004-3-10,5.25
2004-4-27,5.25
2004-4-28,5.5
2004-6-8,5.5
2004-6-9,5.75
2004-7-27,5.75
2004-7-28,6.0
2004-9-7,6.25
2004-9-8,6.25
2004-10-26,6.5
2004-10-27,6.5
2004-12-8,6.5
2005-1-26,6.5
2005-3-8,6.5
2005-3-9,6.75
2005-4-27,6.75
2005-6-8,6.75
2005-7-27,6.75
2005-9-14,6.75
2005-10-25,6.75
2005-10-26,7.0
2005-12-6,7.0
2005-12-7,7.25
2006-1-25,7.25
2006-3-8,7.25
2006-4-26,7.25
2006-6-7,7.25
2006-7-26,7.25
2006-9-13,7.25
2006-10-25,7.25
2006-12-6,7.25
2007-1-24,7.25
2007-3-6,7.25
2007-3-7,7.5
2007-4-24,7.5
2007-4-25,7.75
2007-7-5,7.75
2007-6-6,8.0
2007-7-24,8.0
2007-7-25,8.25
2007-9-12,8.25
2007-10-24,8.25
2007-12-5,8.25
2008-1-23,8.25
2008-3-5,8.25
2008-4-23,8.25
2008-6-4,8.25
2008-7-22,8.25
2008-7-23,8.0
2008-9-9,8.0
2008-9-10,7.5
2008-10-22,6.5
2008-12-2,6.5
2008-12-3,5.0
2009-1-28,3.5
2009-3-10,3.5
2009-3-11,3.0
2009-4-28,3.0
2009-4-29,2.5
2009-6-10,2.5
2009-6-29,2.5
2009-7-30,2.5
2009-8-30,2.5
2009-9-29,2.5
2009-10-30,2.5
2009-11-29,2.5
2009-12-30,2.5
2010-1-30,2.5
2010-2-27,2.5
2010-3-30,2.5
2010-4-29,2.5
2010-5-30,2.5
2010-6-8,2.5
2010-6-29,2.75
2010-7-27,2.75
2010-7-28,3.0
2010-8-30,3.0
2010-9-29,3.0
2010-10-30,3.0
2010-11-29,3.0
2010-12-30,3.0
2011-1-30,3.0
2011-2-27,3.0
2011-3-8,3.0
2011-3-9,2.5
2011-3-30,2.5
2011-4-29,2.5
2011-5-30,2.5
2011-6-29,2.5
2011-7-30,2.5
2011-8-30,2.5
2011-9-29,2.5
2011-10-30,2.5
2011-11-29,2.5
2011-12-30,2.5
2012-1-30,2.5
2012-2-28,2.5
2012-3-30,2.5
2012-4-29,2.5
2012-5-30,2.5
2012-6-29,2.5
2012-7-30,2.5
2012-8-30,2.5
2012-9-29,2.5
2012-10-30,2.5
2012-11-29,2.5
2012-12-30,2.5
2013-1-30,2.5
2013-2-27,2.5
2013-3-30,2.5
2013-4-29,2.5
2013-5-30,2.5
2013-6-29,2.5
2013-7-30,2.5
2013-8-30,2.5
2013-9-29,2.5
2013-10-30,2.5
2013-11-29,2.5
2013-12-30,2.5
2014-1-30,2.5
2014-2-27,2.5
2014-3-11,2.5
2014-3-12,2.75
2014-3-30,2.75
2014-4-22,2.75
2014-4-23,3.0
2014-4-29,3.0
2014-5-30,3.0
2014-6-10,3.0
2014-6-11,3.25
2014-7-22,3.25
2014-7-23,3.5
2014-9-9,3.5
2014-9-10,3.5
2014-9-29,3.5
2014-10-30,3.5
2014-11-29,3.5
2014-12-10,3.5
2015-1-28,3.5
2015-2-27,3.5
2015-3-30,3.5
2015-4-29,3.5
2015-5-30,3.5
2015-6-9,3.5
2015-6-10,3.25
2015-6-29,3.25
2015-7-21,3.25
2015-7-22,3.0
2015-7-30,3.0
2015-8-30,3.0
2015-9-8,3.0
2015-9-9,2.75
2015-9-29,2.75
2015-10-28,2.75
2015-11-29,2.75
2015-12-8,2.75
2015-12-9,2.5
2015-12-30,2.5
2016-1-27,2.5
2016-1-30,2.5
2016-2-27,2.5
2016-3-8,2.5
2016-3-9,2.25
2016-3-30,2.25
2016-4-27,2.25
2016-5-30,2.25
2016-6-29,2.25
2016-7-30,2.25
2016-8-9,2.25
2016-8-10,2.0
2016-8-30,2.0
2016-9-29,2.0
2016-10-30,2.0
2016-11-8,2.0
2016-11-9,1.75
2016-11-29,1.75
2016-12-30,1.75
2017-1-30,1.75
2017-2-27,1.75
2017-3-30,1.75
2017-4-29,1.75
2017-5-30,1.75
2017-6-29,1.75
2017-7-30,1.75
2017-8-30,1.75
2017-9-29,1.75
2017-10-30,1.75
2017-11-29,1.75
2017-12-30,1.75
2018-1-30,1.75
2018-2-27,1.75
2018-3-30,1.75
2018-4-29,1.75
2018-5-30,1.75
2018-6-29,1.75
2018-7-30,1.75
2018-8-30,1.75
2018-9-29,1.75
2018-10-30,1.75
2018-11-29,1.75
2018-12-30,1.75
2019-1-30,1.75
2019-2-27,1.75
2019-3-30,1.75
2019-4-29,1.75
2019-5-6,1.75
2019-5-7,1.5
2019-5-30,1.5
2019-6-29,1.5
2019-7-30,1.5
2019-8-5,1.5
2019-8-6,1.0
2019-9-24,1.0
2019-11-12,1.0
2020-2-11,1.0
2020-3-14,1.0
2020-3-15,0.25
2020-5-12,0.25
2020-6-23,0.25
2020-8-11,0.25
2020-9-22,0.25
2020-11-10,0.25
2021-2-23,0.25
2021-3-30,0.25
2021-4-13,0.25
2021-5-25,0.25
2021-7-13,0.25
2021-8-17,0.25
2021-10-4,0.25
2021-10-5,0.5
2021-11-22,0.5
2021-11-23,0.75
2021-12-30,0.75
2022-2-21,0.75
2022-2-22,1.0
2022-4-11,1.0
2022-4-12,1.5
2022-5-24,1.5
2022-5-25,2.0
2022-7-11,2.0
2022-7-12,2.5
2022-8-15,2.5
2022-8-16,3.0
2022-10-4,3.5
