"","date","Total_Gross_Imports_in_tonnes"
"1","1988-03",2036304
"2","1988-06",1695013
"3","1988-09",1612744
"4","1988-12",1618301
"5","1989-03",1961851
"6","1989-06",1945879
"7","1989-09",2239870
"8","1989-12",2026349
"9","1990-03",2188226
"10","1990-06",2084001
"11","1990-09",2152598
"12","1990-12",1926040
"13","1991-03",2052292
"14","1991-06",1875271
"15","1991-09",1834674
"16","1991-12",2152808
"17","1992-03",2155774
"18","1992-06",2202970
"19","1992-09",2357427
"20","1992-12",2047398
"21","1993-03",2295641
"22","1993-06",2299051
"23","1993-09",2704718
"24","1993-12",2413484
"25","1994-03",2725173
"26","1994-06",2564301
"27","1994-09",2924197
"28","1994-12",2662848
"29","1995-03",2727914
"30","1995-06",2752248
"31","1995-09",3142784
"32","1995-12",2679338
"33","1996-03",3152877
"34","1996-06",2820761
"35","1996-09",3066009
"36","1996-12",2741172
"37","1997-03",2941701
"38","1997-06",2961547
"39","1997-09",2976307
"40","1997-12",2698249
"41","1998-03",3142532
"42","1998-06",3369590
"43","1998-09",3125335
"44","1998-12",3108871
"45","1999-03",3313467
"46","1999-06",3188184
"47","1999-09",3454552
"48","1999-12",3441761
"49","2000-03",3367151
"50","2000-06",3336383
"51","2000-09",3541003
"52","2000-12",3645498
"53","2001-03",3567689
"54","2001-06",3407633
"55","2001-09",3918919
"56","2001-12",3734857
"57","2002-03",4001090
"58","2002-06",3791726
"59","2002-09",4129044
"60","2002-12",4074431
"61","2003-03",3996177
"62","2003-06",3955461
"63","2003-09",4420246
"64","2003-12",4482298
"65","2004-03",4161805
"66","2004-06",4641805
"67","2004-09",4568385
"68","2004-12",5238854
"69","2005-03",4551003
"70","2005-06",4805443
"71","2005-09",4738094
"72","2005-12",4466814
"73","2006-03",4738912
"74","2006-06",4175634
"75","2006-09",4711716
"76","2006-12",4989231
"77","2007-03",4298434
"78","2007-06",4499733
"79","2007-09",4918798
"80","2007-12",4854343
"81","2008-03",4655986
"82","2008-06",4894625
"83","2008-09",5012878
"84","2008-12",4936916
"85","2009-03",3697278
"86","2009-06",3790507
"87","2009-09",4207359
"88","2009-12",4525801
"89","2010-03",4227784
"90","2010-06",4377280
"91","2010-09",4520807
"92","2010-12",4943518
"93","2011-03",4552220
"94","2011-06",4537651
"95","2011-09",5123105
"96","2011-12",4804128
"97","2012-03",4877407
"98","2012-06",4118908
"99","2012-09",5317528
"100","2012-12",4829142
"101","2013-03",4751595
"102","2013-06",4906091
"103","2013-09",5171248
"104","2013-12",5332221
"105","2014-03",5231237
"106","2014-06",5160739
"107","2014-09",5734397
"108","2014-12",5847981
"109","2015-03",5242763
"110","2015-06",5084948
"111","2015-09",5440489
"112","2015-12",5524376
"113","2016-03",5511017
"114","2016-06",4680416
"115","2016-09",5607504
"116","2016-12",5679681
"117","2017-03",5610533
"118","2017-06",5692904
"119","2017-09",6154846
"120","2017-12",6399785
"121","2018-03",6209920
"122","2018-06",5527325
"123","2018-09",6627206
"124","2018-12",6392479
"125","2019-03",6137760
"126","2019-06",5968963
"127","2019-09",6252601
"128","2019-12",6344586
"129","2020-03",5930085
"130","2020-06",4930853
"131","2020-09",5737541
"132","2020-12",6346453
"133","2021-03",5916959
"134","2021-06",6041585
"135","2021-09",6713726
"136","2021-12",6720260
"137","2022-03",5644293
"138","2022-06",5800983
"139","2022-09",5739492
