"","Month.Year","Actual","Seasonally.adjusted"
"1","Jul-2012","173,539","211,860"
"2","Aug-2012","178,298","219,550"
"3","Sep-2012","179,069","214,660"
"4","Oct-2012","184,200","215,070"
"5","Nov-2012","232,119","213,460"
"6","Dec-2012","363,959","220,730"
"7","Jan-2013","260,637","214,540"
"8","Feb-2013","281,233","218,910"
"9","Mar-2013","270,740","224,190"
"10","Apr-2013","200,583","229,490"
"11","May-2013","153,034","225,290"
"12","Jun-2013","159,485","226,210"
"13","Jul-2013","183,718","229,730"
"14","Aug-2013","189,284","233,580"
"15","Sep-2013","191,056","232,140"
"16","Oct-2013","194,973","226,840"
"17","Nov-2013","251,060","229,870"
"18","Dec-2013","381,892","233,900"
"19","Jan-2014","292,446","235,910"
"20","Feb-2014","301,165","236,620"
"21","Mar-2014","253,561","230,620"
"22","Apr-2014","224,194","231,090"
"23","May-2014","161,355","235,240"
"24","Jun-2014","162,122","237,140"
"25","Jul-2014","196,856","241,230"
"26","Aug-2014","188,849","237,380"
"27","Sep-2014","193,329","237,540"
"28","Oct-2014","210,597","243,730"
"29","Nov-2014","270,408","245,870"
"30","Dec-2014","402,518","247,880"
"31","Jan-2015","302,432","245,030"
"32","Feb-2015","343,457","265,320"
"33","Mar-2015","291,784","251,390"
"34","Apr-2015","237,966","255,970"
"35","May-2015","176,697","257,690"
"36","Jun-2015","176,961","262,740"
"37","Jul-2015","207,984","254,540"
"38","Aug-2015","202,879","261,410"
"39","Sep-2015","216,984","267,750"
"40","Oct-2015","229,379","263,300"
"41","Nov-2015","300,521","271,290"
"42","Dec-2015","444,883","271,940"
"43","Jan-2016","343,446","278,200"
"44","Feb-2016","373,376","279,160"
"45","Mar-2016","344,387","283,990"
"46","Apr-2016","256,685","284,260"
"47","May-2016","193,643","287,290"
"48","Jun-2016","196,223","288,280"
"49","Jul-2016","237,872","297,460"
"50","Aug-2016","221,181","292,550"
"51","Sep-2016","245,089","299,410"
"52","Oct-2016","260,246","300,170"
"53","Nov-2016","333,598","296,250"
"54","Dec-2016","494,193","296,520"
"55","Jan-2017","381,068","305,780"
"56","Feb-2017","380,034","298,340"
"57","Mar-2017","343,799","308,140"
"58","Apr-2017","311,866","319,490"
"59","May-2017","209,170","314,420"
"60","Jun-2017","230,088","343,410"
"61","Jul-2017","246,945","313,650"
"62","Aug-2017","233,991","309,190"
"63","Sep-2017","252,746","310,120"
"64","Oct-2017","270,515","311,190"
"65","Nov-2017","360,136","310,930"
"66","Dec-2017","513,349","306,250"
"67","Jan-2018","379,228","309,200"
"68","Feb-2018","423,456","325,350"
"69","Mar-2018","388,327","320,520"
"70","Apr-2018","283,910","323,710"
"71","May-2018","222,079","335,640"
"72","Jun-2018","212,245","323,560"
"73","Jul-2018","250,523","323,030"
"74","Aug-2018","246,682","324,460"
"75","Sep-2018","258,155","317,610"
"76","Oct-2018","283,568","324,050"
"77","Nov-2018","385,789","326,960"
"78","Dec-2018","529,255","314,220"
"79","Jan-2019","399,346","320,190"
"80","Feb-2019","417,934","319,970"
"81","Mar-2019","378,270","348,100"
"82","Apr-2019","307,409","327,070"
"83","May-2019","219,331","333,860"
"84","Jun-2019","213,536","331,500"
"85","Jul-2019","255,585","331,170"
"86","Aug-2019","251,131","328,690"
"87","Sep-2019","261,770","324,590"
"88","Oct-2019","283,834","318,710"
"89","Nov-2019","372,108","313,020"
"90","Dec-2019","528,219","313,560"
"91","Jan-2020","410,778","315,450"
"92","Feb-2020","372,745","282,300"
"93","Mar-2020","175,521","166,760"
"94","Apr-2020","1,721","1,721"
"95","May-2020","2,189","2,189"
"96","Jun-2020","3,521","3,521"
"97","Jul-2020","3,481","3,481"
"98","Aug-2020","4,782","4,782"
"99","Sep-2020","5,519","5,519"
"100","Oct-2020","5,073","5,073"
"101","Nov-2020","5,116","5,116"
"102","Dec-2020","5,904","5,904"
"103","Jan-2021","5,448","5,448"
"104","Feb-2021","5,297","5,297"
"105","Mar-2021","4,639","4,639"
"106","Apr-2021","31,931","31,931"
"107","May-2021","57,605","57,605"
"108","Jun-2021","51,590","51,590"
"109","Jul-2021","30,209","30,209"
"110","Aug-2021","2,676","2,676"
"111","Sep-2021","2,310","2,310"
"112","Oct-2021","3,687","3,687"
"113","Nov-2021","5,309","5,309"
"114","Dec-2021","6,161","6,161"
"115","Jan-2022","4,033","4,033"
"116","Feb-2022","5,235","5,235"
"117","Mar-2022","28,624","28,624"
"118","Apr-2022","54,303","54,303"
"119","May-2022","72,755","72,755"
"120","Jun-2022","94,648","94,648"
"121","Jul-2022","134,175","134,175"
